filename,Tri_put_area,Tri_orn_area,Di_put_area,Di_cad_area,Di_acetyl_cad_area,Di_acetyl_orn_area,Di_orn_area,Tri_aminoval_area,Di_tau_area,Di_gly_area,ATTRIBUTE_SampleType,ATTRIBUTE_SubjectIdentifier,ATTRIBUTE_diet,ATTRIBUTE_order,ATTRIBUTE_gut
Sample-1A4.mzML,0,0,0,0,0,0,0,14236,582734,17136524,animal,Sheep_1,Herbivore,Artiodactyla,Foregut
Sample-1A5.mzML,0,0,0,0,0,0,0,0,2203814,38047376,animal,Goat_1,Herbivore,Artiodactyla,Foregut
Sample-1A6.mzML,15685,0,8119,873121,226763,0,0,379779,95301,20727,animal,Black_bear_1,Omnivore,Carnivora,Simplegut
Sample-1A7.mzML,0,0,0,0,0,0,0,0,586819,0,animal,Brown_bear_4,Omnivore,Carnivora,Simplegut
Sample-1A8.mzML,0,0,0,0,0,0,0,0,0,0,animal,Af_elephant_3,Herbivore,Proboscidea,Hindgut
Sample-1B1.mzML,0,0,0,0,0,0,0,4647,0,0,animal,As_elephant_5,Herbivore,Proboscidea,Hindgut
Sample-1B2.mzML,0,916614,0,24028,0,140752,114094,172046,52567936,129649,animal,Coati_1,Omnivore,Carnivora,Simplegut
Sample-1B3.mzML,0,57590,0,0,0,0,0,44300,42831496,0,animal,Coati_7,Omnivore,Carnivora,Simplegut
Sample-1B4.mzML,0,0,0,0,0,0,0,0,23862,72969,animal,Gibbon_1,Omnivore,Primates,Simplegut
Sample-1B5.mzML,0,0,0,0,0,0,0,0,0,2497879,animal,Zebra_8,Herbivore,Perissodactyla,Hindgut
Sample-1B6.mzML,0,0,0,0,0,0,0,0,14369,1793245,animal,Rhino_4,Herbivore,Perissodactyla,Hindgut
Sample-1B7.mzML,0,0,0,0,0,0,0,0,0,1764956,animal,Rhino_9,Herbivore,Perissodactyla,Hindgut
Sample-1B8.mzML,1068106,490636,18824348,15029528,6011955,84843,1209463,514562,3487081,5078615,animal,Lion_1,Carnivore,Carnivora,Simplegut
Sample-1C1.mzML,0,0,0,0,0,0,21234,0,442248,645576,animal,Gorilla_3,Herbivore,Primates,Simplegut
Sample-1C2.mzML,0,0,28871,331598,0,0,0,0,524692,377713,animal,Mandarill_2,Omnivore,Primates,Simplegut
Sample-1C3.mzML,0,11606,0,203089,0,0,214244,0,3084874,1079655,animal,Mandarill_7,Omnivore,Primates,Simplegut
Sample-1C4.mzML,0,0,0,0,0,0,82468,0,774566,583775,animal,Chimpanzee_6,Omnivore,Primates,Simplegut
Sample-1C5.mzML,0,0,0,0,0,0,73919,0,1630728,597643,animal,Chimpanzee_12,Omnivore,Primates,Simplegut
Sample-1C6.mzML,0,0,0,0,0,0,0,0,0,3200833,animal,Zebra_12,Herbivore,Perissodactyla,Hindgut
Sample-1C7.mzML,0,0,0,0,0,0,0,0,31705,2734735,animal,Zebra_6,Herbivore,Perissodactyla,Hindgut
Sample-1C8.mzML,0,0,0,0,0,0,0,0,1147554,18865368,animal,Sheep_2,Herbivore,Artiodactyla,Foregut
Sample-1D1.mzML,0,0,0,0,0,0,0,0,9243,2717582,animal,Donkey_1,Herbivore,Perissodactyla,Hindgut
Sample-1D2.mzML,0,0,0,0,0,0,0,39743,228271,0,animal,Black_bear_2,Omnivore,Carnivora,Simplegut
Sample-1D3.mzML,0,0,0,0,0,0,0,72161,9178553,0,animal,Brown_bear_5,Omnivore,Carnivora,Simplegut
Sample-1D4.mzML,0,0,0,0,0,0,0,0,21986,0,animal,As_elephant_1,Herbivore,Proboscidea,Hindgut
Sample-1D5.mzML,570680,3949035,2354586,2881981,7792244,7396736,6883975,2323720,26081658,3576890,animal,Tiger_1,Carnivore,Carnivora,Simplegut
Sample-1D6.mzML,0,16937,0,18626,0,0,22083,112868,11186190,59207,animal,Coati_3,Omnivore,Carnivora,Simplegut
Sample-1D7.mzML,0,168314,0,0,0,0,0,0,620198,0,animal,Coati_8,Omnivore,Carnivora,Simplegut
Sample-1D8.mzML,0,0,0,0,0,0,14646,0,0,456293,animal,Gibbon_2,Omnivore,Primates,Simplegut
Sample-1E1.mzML,0,0,0,0,0,0,0,12630,27939,4413069,animal,Zebra_11,Herbivore,Perissodactyla,Hindgut
Sample-1E2.mzML,0,0,0,0,0,0,0,0,26671,5321222,animal,Rhino_5,Herbivore,Perissodactyla,Hindgut
Sample-1E3.mzML,0,0,0,0,0,0,0,0,0,3678364,animal,Rhino_10,Herbivore,Perissodactyla,Hindgut
Sample-1E4.mzML,0,211608,0,0,0,164701,593188,500093,54776148,243822,animal,Lion_2,Carnivore,Carnivora,Simplegut
Sample-1E5.mzML,0,0,0,0,0,0,99773,0,200630,687528,animal,Gorilla_4,Herbivore,Primates,Simplegut
Sample-1E6.mzML,0,0,0,2700580,54485,0,0,0,3232720,728160,animal,Mandarill_3,Omnivore,Primates,Simplegut
Sample-1E7.mzML,0,0,0,0,0,0,72511,0,982869,573115,animal,Mandarill_8,Omnivore,Primates,Simplegut
Sample-1E8.mzML,0,0,0,0,0,0,51035,0,528678,694377,animal,Chimpanzee_7,Omnivore,Primates,Simplegut
Sample-1F1.mzML,0,0,0,0,0,0,337499,0,19002,244885,animal,Chimpanzee_13,Omnivore,Primates,Simplegut
Sample-1F2.mzML,0,0,0,0,0,0,0,0,13693,3096341,animal,Zebra_14,Herbivore,Perissodactyla,Hindgut
Sample-1F3.mzML,0,0,0,0,0,0,0,0,999530,2127708,animal,Zebra_7,Herbivore,Perissodactyla,Hindgut
Sample-1F4.mzML,0,0,0,0,0,0,0,15213,1867924,20705094,animal,Sheep_3,Herbivore,Artiodactyla,Foregut
Sample-1F5.mzML,0,0,107281,498916,2172946,0,231802,0,4648244,1207180,animal,Jungle_cat_1,Carnivore,Carnivora,Simplegut
Sample-1F6.mzML,0,0,0,0,0,0,0,127979,87485,0,animal,Brown_bear_1,Omnivore,Carnivora,Simplegut
Sample-1F7.mzML,0,0,20364,48922,3068521,0,2105424,0,42404260,1173391,animal,Hyena_1,Carnivore,Carnivora,Simplegut
Sample-1F8.mzML,0,0,0,0,0,0,0,0,0,0,animal,As_elephant_2,Herbivore,Proboscidea,Hindgut
Sample-2A1.mzML,0,12525527,87592,900611,93289,1987639,9968649,5493580,57985136,4541898,animal,Tiger_2,Carnivore,Carnivora,Simplegut
Sample-2A2.mzML,0,15643,0,0,0,0,0,0,46894120,88856,animal,Coati_4,Omnivore,Carnivora,Simplegut
Sample-2A3.mzML,0,0,0,0,0,0,0,0,15380,4523150,animal,Rhino_1,Herbivore,Perissodactyla,Hindgut
Sample-2A4.mzML,0,0,0,0,0,0,0,0,0,0,animal,Gibbon_3,Omnivore,Primates,Simplegut
Sample-2A5.mzML,0,0,0,0,0,0,0,0,29699,4125352,animal,Zebra_10,Herbivore,Perissodactyla,Hindgut
Sample-2A6.mzML,0,0,0,0,0,0,0,0,0,2031437,animal,Rhino_6,Herbivore,Perissodactyla,Hindgut
Sample-2A7.mzML,0,0,0,0,0,0,0,0,15243,4491444,animal,Rhino_11,Herbivore,Perissodactyla,Hindgut
Sample-2A8.mzML,77508152,3404150,27166586,3227088,9513280,126553,181056,66932188,66077276,1487949,animal,Lion_3,Carnivore,Carnivora,Simplegut
Sample-2B1.mzML,0,0,0,0,0,0,53601,0,48534,507163,animal,Gorilla_5,Herbivore,Primates,Simplegut
Sample-2B2.mzML,0,0,0,188422,0,0,0,0,510144,698749,animal,Mandarill_4,Omnivore,Primates,Simplegut
Sample-2B3.mzML,0,0,0,0,0,0,285321,0,45806,470929,animal,Chimpanzee_1,Omnivore,Primates,Simplegut
Sample-2B4.mzML,0,0,0,0,0,0,57134,0,1026931,516248,animal,Chimpanzee_9,Omnivore,Primates,Simplegut
Sample-2B5.mzML,0,0,0,0,0,0,0,0,28208,0,animal,Lemur_1,Omnivore,Primates,Simplegut
Sample-2B6.mzML,0,0,0,0,0,0,0,0,4835,2569592,animal,Zebra_15,Herbivore,Perissodactyla,Hindgut
Sample-2B7.mzML,0,0,5374518,661589,10494786,0,156194,693411,11285789,1324999,animal,Wolf_2,Carnivore,Carnivora,Simplegut
Sample-2B8.mzML,0,0,0,0,0,0,0,0,2655034,14576030,animal,Sheep_4,Herbivore,Artiodactyla,Foregut
Sample-2C1.mzML,0,0,0,99106,588275,12021,50685,34820,2052642,1465963,animal,Jungle_cat_2,Carnivore,Carnivora,Simplegut
Sample-2C2.mzML,0,0,0,0,0,0,0,1429778,22465080,46868,animal,Brown_bear_2,Omnivore,Carnivora,Simplegut
Sample-2C3.mzML,0,0,0,0,0,0,0,0,0,0,animal,Af_elephant_1,Herbivore,Proboscidea,Hindgut
Sample-2C4.mzML,0,0,0,0,0,0,0,0,0,0,animal,As_elephant_3,Herbivore,Proboscidea,Hindgut
Sample-2C5.mzML,0,162837,0,14030,0,1339772,285077,315962,9856134,1792231,animal,Leopard_1,Carnivore,Carnivora,Simplegut
Sample-2C6.mzML,0,147154,0,0,0,379658,80280,1592476,1171138,407752,animal,Coati_5,Omnivore,Carnivora,Simplegut
Sample-2C7.mzML,0,0,0,0,0,0,0,0,0,1921492,animal,Rhino_2,Herbivore,Perissodactyla,Hindgut
Sample-2C8.mzML,0,0,0,0,0,0,0,0,0,1599494,animal,Zebra_1,Herbivore,Perissodactyla,Hindgut
Sample-2D1.mzML,0,0,0,0,0,0,0,0,32681,2549349,animal,Zebra_4,Herbivore,Perissodactyla,Hindgut
Sample-2D2.mzML,0,0,0,0,0,0,0,0,18232,2435513,animal,Rhino_7,Herbivore,Perissodactyla,Hindgut
Sample-2D3.mzML,0,0,0,0,0,0,0,0,14969,1572049,animal,Rhino_12,Herbivore,Perissodactyla,Hindgut
Sample-2D4.mzML,0,0,0,152057,0,0,192765,0,82100,191243,animal,Gorilla_1,Herbivore,Primates,Simplegut
Sample-2D5.mzML,0,0,0,0,0,0,0,0,35960,533662,animal,Gorilla_6,Herbivore,Primates,Simplegut
Sample-2D6.mzML,0,239681,407464,2510981,298445,0,387883,5132,1733367,2200848,animal,Mandarill_5,Omnivore,Primates,Simplegut
Sample-2D7.mzML,0,0,0,0,0,0,222650,0,603404,587280,animal,Chimpanzee_4,Omnivore,Primates,Simplegut
Sample-2D8.mzML,0,0,0,19229,0,0,185688,0,587666,337307,animal,Chimpanzee_10,Omnivore,Primates,Simplegut
Sample-2E1.mzML,0,0,0,0,0,0,0,0,5563,0,animal,Lemur_2,Omnivore,Primates,Simplegut
Sample-2E2.mzML,0,0,0,27924,0,0,0,0,623777,2717987,animal,Zebra_16,Herbivore,Perissodactyla,Hindgut
Sample-2E3.mzML,0,0,0,0,0,0,0,0,14411,5684055,animal,Zebra_13,Herbivore,Perissodactyla,Hindgut
Sample-2E4.mzML,0,0,0,0,0,0,0,0,1705202,19393886,animal,Sheep_5,Herbivore,Artiodactyla,Foregut
Sample-2E5.mzML,0,343108,14271,231781,878056,48747,511499,176901,2729337,452874,animal,Sand_cat_1,Carnivore,Carnivora,Simplegut
Sample-2E6.mzML,0,0,0,0,0,0,0,0,643923,0,animal,Brown_bear_3,Omnivore,Carnivora,Simplegut
Sample-2E7.mzML,0,0,0,0,0,0,0,0,0,0,animal,Af_elephant_2,Herbivore,Proboscidea,Hindgut
Sample-2E8.mzML,0,0,0,0,0,0,0,0,0,13548,animal,As_elephant_4,Herbivore,Proboscidea,Hindgut
Sample-2F1.mzML,0,1855132,0,85593,0,31132,346444,5777597,13718571,663159,animal,Leopard_2,Carnivore,Carnivora,Simplegut
Sample-2F2.mzML,0,0,0,0,0,0,0,65021,72189048,0,animal,Coati_6,Omnivore,Carnivora,Simplegut
Sample-2F3.mzML,0,0,0,0,0,0,0,0,0,3804019,animal,Rhino_3,Herbivore,Perissodactyla,Hindgut
Sample-2F4.mzML,0,0,0,0,0,0,0,0,35982,2786407,animal,Zebra_2,Herbivore,Perissodactyla,Hindgut
Sample-2F5.mzML,0,0,0,0,0,0,0,0,14091,3179800,animal,Zebra_5,Herbivore,Perissodactyla,Hindgut
Sample-2F6.mzML,0,0,0,0,0,0,0,0,0,896882,animal,Rhino_8,Herbivore,Perissodactyla,Hindgut
Sample-2F7.mzML,0,0,0,0,0,0,0,0,0,7696450,animal,Rhino_13,Herbivore,Perissodactyla,Hindgut
Sample-2F8.mzML,0,0,0,0,0,0,0,0,486809,340769,animal,Gorilla_2,Herbivore,Primates,Simplegut
Sample-X-101.mzML,0,45984,0,21769,0,0,306432,158712,73539904,345086,animal,Wolf_1,Carnivore,Carnivora,Simplegut
Sample-X-60.mzML,0,0,0,41555,0,0,0,0,267734,176850,animal,Mandarill_1,Omnivore,Primates,Simplegut
Sample-X-65.mzML,0,0,0,0,0,0,20436,0,788207,0,animal,Mandarill_6,Omnivore,Primates,Simplegut
Sample-X-70.mzML,0,0,0,57404,0,0,173757,707,2484412,158787,animal,Chimpanzee_5,Omnivore,Primates,Simplegut
Sample-X-76.mzML,0,0,0,0,0,0,161599,0,192946,34169,animal,Chimpanzee_11,Omnivore,Primates,Simplegut
Sample-X-81.mzML,0,0,0,0,0,0,0,0,1756011,95093,animal,Capuchin_1,Omnivore,Primates,Simplegut
Sample-X-87.mzML,0,0,0,0,0,0,0,0,52115,3443364,animal,Zebra_3,Herbivore,Perissodactyla,Hindgut
Sample-X-93.mzML,0,0,0,0,0,0,0,0,67143,2214139,animal,Zebra_9,Herbivore,Perissodactyla,Hindgut
